parameter,mean,std
main_deflector_parameters_theta_E,1.0954727362291574,0.1498171546820595
main_deflector_parameters_gamma1,-0.0005317986651021733,0.049947491589975974
main_deflector_parameters_gamma2,0.0011922342230497546,0.05020126441280082
main_deflector_parameters_gamma,1.9919153708034039,0.09596092176092061
main_deflector_parameters_e1,-0.004573251790072026,0.09652859594094879
main_deflector_parameters_e2,0.007479491929665166,0.09595502240042841
main_deflector_parameters_center_x,-0.00036964442099097995,0.15708873526922312
main_deflector_parameters_center_y,0.002387398515651057,0.15854788198733574
