Magnification,cosmology_parameters_cosmology_name,detector_parameters_background_noise,detector_parameters_ccd_gain,detector_parameters_exposure_time,detector_parameters_magnitude_zero_point,detector_parameters_num_exposures,detector_parameters_pixel_scale,detector_parameters_read_noise,detector_parameters_sky_brightness,lens_light_parameters_R_sersic,lens_light_parameters_center_x,lens_light_parameters_center_y,lens_light_parameters_e1,lens_light_parameters_e2,lens_light_parameters_mag_app,lens_light_parameters_n_sersic,lens_light_parameters_output_ab_zeropoint,lens_light_parameters_z_source,main_deflector_parameters_M200,main_deflector_parameters_center_x,main_deflector_parameters_center_y,main_deflector_parameters_dec_0,main_deflector_parameters_e1,main_deflector_parameters_e2,main_deflector_parameters_gamma,main_deflector_parameters_gamma1,main_deflector_parameters_gamma2,main_deflector_parameters_ra_0,main_deflector_parameters_theta_E,main_deflector_parameters_z_lens,psf_parameters_fwhm,psf_parameters_psf_type,seed,source_parameters_R_sersic,source_parameters_center_x,source_parameters_center_y,source_parameters_e1,source_parameters_e2,source_parameters_mag_app,source_parameters_n_sersic,source_parameters_output_ab_zeropoint,source_parameters_z_source
13.65220267310393,planck18,,2.3,30,27.79,230,0.2,10,20.48,0.25003118906251687,0.06546341456483747,0.09640058476187771,0.0,0.0,18.35895209115545,4.0,27.79,def,10000000000000.0,0.06546341456483747,0.09640058476187771,0.0,0.0,0.0,2.3193749238833448,0.0,0.0,0.0,1.8665688310443191,0.6140065198528488,0.71,GAUSSIAN,2752561139,0.16537751903388892,-0.04168930700848279,-0.04966155691326903,0.23125845018618316,-0.274267122936478,23.56917126247099,1.0,27.79,0.8523450554818756
0.19909864579510383,planck18,,2.3,30,27.79,230,0.2,10,20.48,1.379438705621543,0.1337813086410126,0.12127080915591049,0.0,0.0,19.21851683020024,4.0,27.79,def,10000000000000.0,0.1337813086410126,0.12127080915591049,0.0,0.0,0.0,2.170426614369942,0.0,0.0,0.0,2.0783309178646903,0.3451234524764513,0.71,GAUSSIAN,[2752561140],0.021810211143986596,-0.019322438179961786,-0.83406837485154,-0.05803614901110665,0.24263188970369767,25.65347855230748,1.0,27.79,0.5845021437592082
5.0152625910800435,planck18,,2.3,30,27.79,230,0.2,10,20.48,2.508162861382031,-0.05049522979403783,0.007405144047494249,0.0,0.0,16.181026131472212,4.0,27.79,def,10000000000000.0,-0.05049522979403783,0.007405144047494249,0.0,0.0,0.0,1.575753065528393,0.0,0.0,0.0,1.163761649504195,0.5435612941680872,0.71,GAUSSIAN,[2752561141],0.6468556252120397,-0.5332338063672257,0.18869363103672435,-0.3698288108256953,0.275131918926154,24.829047515730338,1.0,27.79,0.9423736568037966
4.260453898484649,planck18,,2.3,30,27.79,230,0.2,10,20.48,9.012709028910493e-05,-0.05910428204950507,-0.025612968925593657,0.0,0.0,21.10839616693873,4.0,27.79,def,10000000000000.0,-0.05910428204950507,-0.025612968925593657,0.0,0.0,0.0,1.638149973555276,0.0,0.0,0.0,0.952681204710523,0.4235212573810795,0.71,GAUSSIAN,[2752561142],0.08349228064420544,-0.5981214402985662,-0.19807166632137815,-0.07574233741120283,-0.013836514453458773,24.101768735009408,1.0,27.79,1.6865131397735909
3.082068560033769,planck18,,2.3,30,27.79,230,0.2,10,20.48,0.9983580805865357,0.1150643129531304,0.1001960228558251,0.0,0.0,18.366477118135617,4.0,27.79,def,10000000000000.0,0.1150643129531304,0.1001960228558251,0.0,0.0,0.0,1.7170049395947966,0.0,0.0,0.0,1.3077528840472912,0.4245316057576644,0.71,GAUSSIAN,[2752561143],0.19676957789697797,-0.9236973758257244,-0.6059243733163223,0.3220013318559595,0.410122522380295,25.894221703321872,1.0,27.79,0.7834131939957655
6.023289143027728,planck18,,2.3,30,27.79,230,0.2,10,20.48,1.6764085976377627,0.008141366415238152,-0.005720568455130548,0.0,0.0,16.28490112198101,4.0,27.79,def,10000000000000.0,0.008141366415238152,-0.005720568455130548,0.0,0.0,0.0,2.455570600916565,0.0,0.0,0.0,2.148807739930694,0.6136619043034675,0.71,GAUSSIAN,[2752561144],0.46864946750873526,-0.5259808375854856,0.057342227145070916,0.11217737316586782,0.03372021526602005,25.006194081475662,1.0,27.79,1.6194751007948585
6.056276564712623,planck18,,2.3,30,27.79,230,0.2,10,20.48,1.3291678709576618,0.0005861304714970598,0.07592045881926807,0.0,0.0,15.13558493548025,4.0,27.79,def,10000000000000.0,0.0005861304714970598,0.07592045881926807,0.0,0.0,0.0,2.2486479294068977,0.0,0.0,0.0,2.098714047018529,0.7030440732006111,0.71,GAUSSIAN,[2752561145],0.5683659720477574,0.05738559626118796,0.6724157506591134,-0.23597571612967982,0.34448138682726825,23.626034990660905,1.0,27.79,1.2707313422810909
12.98014065292831,planck18,,2.3,30,27.79,230,0.2,10,20.48,1.429172573485998,0.15958362028296535,0.0665706995524862,0.0,0.0,16.584219603265804,4.0,27.79,def,10000000000000.0,0.15958362028296535,0.0665706995524862,0.0,0.0,0.0,1.8249284633403495,0.0,0.0,0.0,3.0933835797413796,0.44355855129900773,0.71,GAUSSIAN,[2752561146],0.5283561225301887,0.7913248256758153,-0.10985415158778435,0.20686603129299677,-0.03575939386717773,25.55980634598804,1.0,27.79,1.0176538191847369
2.3342402533278963,planck18,,2.3,30,27.79,230,0.2,10,20.48,1.6508067449546373,0.052770383001294885,-0.08401669154639932,0.0,0.0,18.28501966217789,4.0,27.79,def,10000000000000.0,0.052770383001294885,-0.08401669154639932,0.0,0.0,0.0,1.9082398318185654,0.0,0.0,0.0,1.162806996294165,0.21237663461563916,0.71,GAUSSIAN,[2752561147],0.3006214776862889,-0.05508925839080517,1.0789893594157254,-0.05715401846027701,0.12746184589122445,26.334752470746604,1.0,27.79,1.9643041197866666
0.260433347488552,planck18,,2.3,30,27.79,230,0.2,10,20.48,1.1096408067808552,-0.004474658730901762,0.1939154625349108,0.0,0.0,17.875086816140637,4.0,27.79,def,10000000000000.0,-0.004474658730901762,0.1939154625349108,0.0,0.0,0.0,1.9139109455483092,0.0,0.0,0.0,0.9664163798995515,0.33465989007623087,0.71,GAUSSIAN,[2752561148],0.003484950912036794,0.01542052692749444,-0.12440784722329108,0.1930000797839911,-0.21660203370372696,26.351199568656824,1.0,27.79,1.1043960878894554
